EDIZIONE,ID,REGIONE,TIPO.ORG,IMP.SOC,ONLUS,TEM.ATT,COL.T.PI,COL.T.PA,VOL.ECO,ARCHIVIS,AGRICOLT,ANTROPOL,APP.SOFT,ARCHEOLO,ARCHITET,ARTIPLAS,BENI.CUL,BIBLIOTE,CIBO,CINEMA,COMMERCI,COMMUNIT,CONCORSO,COWORKIN,CROWDFUN,DANZA,DESIGN,DIDATTIC,EDITORIA,ENOGASTR,EVENTI,FABBING,FESTIVAL,FILOSOFI,FORMAZIO,FOTOGRAF,FUNDRAIS,INFANZIA,INTEG.SO,LETTERAT,LINGUE.S,MODA,MUSICA,MUSEI,OPENDATA,PEDAGOGI,PERF.ART,PITTURA,PSICOLOG,RADIO,RESTAURO,RIV.CART,RIV.ONLI,SOCIALNE,SOCIOLOG,SPAZI.SP,SPAZI.ES,SPORT,TEATRO,VIDEO,WEB,TURISMO,ALTRO
cheFare 1 (2012),1,Puglia,Associazione culturale,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Presente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Non applicabile
cheFare 1 (2012),2,Lombardia,S.r.l.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Presente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),3,Non rilevabile,S.r.l.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),4,Piemonte e Valle d'Aosta,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Presente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),5,Emilia Romagna,S.n.c.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Presente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Presente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),6,Lombardia,S.r.l.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Presente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Presente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),7,Lazio,Associazione culturale,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Non applicabile
cheFare 1 (2012),8,Emilia Romagna,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Presente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),9,Lazio,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Presente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),10,Lombardia,S.r.l.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Presente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
