ID_UNI;REGIONE;EDIZIONE;TIPO_ORG;Ambito
1-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione culturale;MUSICA, TURISMO
2-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;CINEMA, SOCIOLOG
3-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);S.r.l.;RIV_ONLI, SOCIALNE, WEB
4-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione;FESTIVAL, PERF_ART, SOCIOLOG
5-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);S.n.c.;COMMERCI, INTEG_SO, WEB
6-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;APP_SOFT, MUSICA, WEB
7-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione culturale;WEB, TURISMO
8-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Associazione;AGRICOLT
9-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;FORMAZIO, SOCIALNE
10-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;DESIGN, INTEG_SO
11-cheFare 1 (2012);Basilicata;cheFare 1 (2012);S.r.l.;ANTROPOL, ARCHITET, WEB
12-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;SOCIALNE, SOCIOLOG, WEB
13-cheFare 1 (2012);Sicilia;cheFare 1 (2012);Società cooperativa;APP_SOFT, ARCHEOLO, TURISMO
14-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione culturale;FESTIVAL, LETTERAT, PERF_ART
15-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione;RIV_ONLI, WEB
16-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;MUSICA, PSICOLOG, TEATRO
17-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione;ARTIPLAS, LETTERAT, WEB
18-cheFare 1 (2012);Campania;cheFare 1 (2012);S.r.l.;RIV_ONLI
19-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Società cooperativa;FORMAZIO, RESTAURO
20-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione culturale;MUSICA, RADIO, WEB
21-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Fondazione;LETTERAT, SOCIALNE, TEATRO
22-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;PERF_ART
23-cheFare 1 (2012);Lazio;cheFare 1 (2012);S.r.l.;CONCORSO, FORMAZIO
24-cheFare 1 (2012);Liguria;cheFare 1 (2012);Associazione culturale;CINEMA, VIDEO
25-cheFare 1 (2012);Basilicata;cheFare 1 (2012);Società cooperativa;ANTROPOL, ARCHEOLO, RESTAURO
26-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;FORMAZIO, SOCIALNE, WEB
27-cheFare 1 (2012);Campania;cheFare 1 (2012);S.a.s.;CINEMA, FESTIVAL, WEB
28-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Società cooperativa;PEDAGOGI, PSICOLOG, TEATRO
29-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Organizzazione di volontariato/O.N.G.;INTEG_SO, LINGUE_S, SOCIALNE
30-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Fondazione;PEDAGOGI, RADIO, WEB
31-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;TEATRO
