ID,BANDO,PROV,DATA.CRE,FORMA.GIU,ART.B.CU,FILANTRO,INN.CULT,POL.SOC,RIC.ISTR,APP.SOFT,ARCH.BIB,ARCHITET,ARTI.VIS,ARTIGIAN,AUDIOVIS,COMMUNIT,CONCORSO,DESIGN,DID.FORM,EDITORIA,ENOGASTR,EVENTI,FESTIVAL,INT.SOC,PATRIMON,SOC.NET,SPAZI,SPETTAC,SPORT,TURISMO,WEB,ALTRO,AREA.TER,RIL.TER,TARGET,T.GIOVAN,T.ADULTI,T.ANZIAN,T.SETT,T.DONNE,T.MIGRAN,T.DV.AB,T.ALTRO,FIN.PREC,FIN.PR.E,E.RICAVI,E.C.AMM,E.C.PRIV,E.COFIN,E.SPAOLO,E.ALTRO,U.HR,U.SERVIZ,U.BENI,U.ALTRO,E.U.TOT
1,Open 2015,Alessandria,2010-2014,Ente locale,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,0,0,0,20.4,79.6,0,18.1,0,81.9,0,€ 40.000-49.999
2,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,0,21.3,21.3,17,23.4,17,13.2,83.4,0,3.4,€ 70.000 e oltre
3,Open 2015,Torino,2005-2009,Cooperativa,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Nazionale,Specifico,Assente,Assente,Assente,Presente,Assente,Presente,Assente, ,No, ,0,0,0,5,95,0,23.4,48.3,25,3.3,€ 60.000-69.999
4,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,8.7,4.3,0,0,87,0,44.3,41.7,13.9,0,Fino a € 20.000
5,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Internazionale,Generico, , , , , , , , ,No, ,32.5,9.1,49.9,0,8.5,0,28.5,43,16,12.5,€ 70.000 e oltre
6,Open 2015,Cuneo,2015 e oltre,Ente locale,Assente,Assente,Presente,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente, ,Locale (comunale o provinciale),Regionale o interregionale,Generico, , , , , , , , ,No, ,0,.9,27.5,3,68.7,0,6.2,91.2,2.6,0,€ 70.000 e oltre
7,Open 2015,Cuneo,2010-2014,Cooperativa,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Regionale o interregionale,Entrambi,Assente,Assente,Assente,Assente,Assente,Presente,Assente, ,No, ,16.7,0,16.7,33.3,33.3,0,50,47.5,2.5,0,Fino a € 20.000
8,Open 2015,Cuneo,2010-2014,Fondazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,Sì,Fino a € 20.000,2.5,33.6,5.7,4.3,53.8,0,33.6,56.4,4.5,5.5,€ 50.000-59.999
9,Open 2015,Asti,Prima del 2000,Ente locale,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,0,4.4,30.8,17.6,44,3.3,1.5,90.8,0,7.7,€ 40.000-49.999
10,Open 2015,Torino,2005-2009,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,9.8,35.8,0,54.4,0,55.9,33.7,1.7,8.7,€ 70.000 e oltre
