ID_UNI;PROV;BANDO;FORMA_GIU;Ambito;T
1-Open 2015;Alessandria;Open 2015;Ente locale;INN_CULT, ARCH_BIB;
2-Open 2015;Torino;Open 2015;Associazione;INN_CULT, APP_SOFT, ENOGASTR;
3-Open 2015;Torino;Open 2015;Cooperativa;INN_CULT, ARTI_VIS, CONCORSO, EVENTI, INT_SOC;T_SETT, T_MIGRAN
4-Open 2015;Torino;Open 2015;Associazione;INN_CULT, EDITORIA;
5-Open 2015;Torino;Open 2015;Associazione;INN_CULT, FESTIVAL, SPETTAC;
6-Open 2015;Cuneo;Open 2015;Ente locale;INN_CULT, APP_SOFT, ARCH_BIB, TURISMO;
7-Open 2015;Cuneo;Open 2015;Cooperativa;INN_CULT, ENOGASTR, EVENTI, INT_SOC;T_MIGRAN
8-Open 2015;Cuneo;Open 2015;Fondazione;INN_CULT, COMMUNIT, EVENTI;
9-Open 2015;Asti;Open 2015;Ente locale;INN_CULT, SPETTAC;
10-Open 2015;Torino;Open 2015;Associazione;INN_CULT, ARTI_VIS, DID_FORM;T_GIOVAN
11-Open 2015;Genova;Open 2015;Associazione;INN_CULT, ARTI_VIS, FESTIVAL;
12-Open 2015;Torino;Open 2015;Associazione;INN_CULT, EVENTI, SPAZI;
13-Open 2015;Cuneo;Open 2015;Associazione;INN_CULT, AUDIOVIS, SPETTAC;T_GIOVAN
14-Open 2015;Torino;Open 2015;Associazione;INN_CULT, POL_SOC, DID_FORM, SPETTAC;T_GIOVAN
15-Open 2015;Altra provincia piemontese;Open 2015;Altro;INN_CULT, CONCORSO, DID_FORM, FESTIVAL;T_SETT
16-Open 2015;Torino;Open 2015;Cooperativa;INN_CULT, ARTI_VIS, DID_FORM, SPETTAC;
17-Open 2015;Novara;Open 2015;Associazione;INN_CULT, ENOGASTR, FESTIVAL, SPETTAC;
18-Open 2015;Asti;Open 2015;Ente locale;INN_CULT, EDITORIA, SPETTAC;
19-Open 2015;Asti;Open 2015;Associazione;INN_CULT, PATRIMON;
20-Open 2015;Torino;Open 2015;Associazione;INN_CULT, FESTIVAL, SPETTAC;
21-Open 2015;Torino;Open 2015;Associazione;INN_CULT, ARTI_VIS, DID_FORM, SPETTAC;
22-Open 2015;Torino;Open 2015;Associazione;INN_CULT, POL_SOC, EVENTI, INT_SOC;T_DV_AB
23-Open 2015;Genova;Open 2015;Istruzione, università e ricerca;INN_CULT, ARCH_BIB, WEB;T_SETT
24-Open 2015;Torino;Open 2015;Associazione;INN_CULT, ARTI_VIS, FESTIVAL, SPETTAC;
25-Open 2015;Alessandria;Open 2015;Ente locale;INN_CULT, DID_FORM, SPETTAC;T_GIOVAN
26-Open 2015;Torino;Open 2015;Associazione;INN_CULT, DID_FORM, EDITORIA, INT_SOC;T_MIGRAN
27-Open 2015;Torino;Open 2015;Associazione;INN_CULT, DID_FORM, WEB;T_DONNE
28-Open 2015;Cuneo;Open 2015;Associazione;INN_CULT, DID_FORM, PATRIMON, TURISMO, WEB;T_GIOVAN
29-Open 2015;Torino;Open 2015;Associazione;INN_CULT, DID_FORM, SPETTAC;
30-Open 2015;Altra provincia piemontese;Open 2015;Ente locale;INN_CULT, PATRIMON, SPETTAC, TURISMO;
31-Open 2015;Torino;Open 2015;Associazione;INN_CULT, CONCORSO, EDITORIA, WEB;
32-Open 2015;Torino;Open 2015;Altro;INN_CULT, ARCHITET, EDITORIA, EVENTI, SPETTAC;
33-Open 2015;Torino;Open 2015;Associazione;INN_CULT, ALTRO;T_SETT
34-Open 2015;Asti;Open 2015;Associazione;INN_CULT, EDITORIA, FESTIVAL, SPETTAC;
35-Open 2015;Alessandria;Open 2015;Altro;INN_CULT, PATRIMON, TURISMO, WEB;
36-Open 2015;Genova;Open 2015;Associazione;INN_CULT, SPETTAC;
37-Open 2015;Torino;Open 2015;Altro;INN_CULT, POL_SOC, AUDIOVIS, INT_SOC;T_DONNE
38-Open 2015;Torino;Open 2015;Fondazione;INN_CULT, CONCORSO, DID_FORM, PATRIMON;
39-Open 2015;Torino;Open 2015;Associazione;INN_CULT, FESTIVAL, SPETTAC;
40-Open 2015;Torino;Open 2015;Altro;INN_CULT, SPETTAC;
41-Open 2015;Altra provincia piemontese;Open 2015;Associazione;INN_CULT, SPETTAC;
42-Open 2015;Cuneo;Open 2015;Associazione;INN_CULT, ARTI_VIS, AUDIOVIS, EDITORIA, FESTIVAL, SPETTAC;
43-Open 2015;Altra provincia ligure;Open 2015;Ente locale;INN_CULT, CONCORSO, SPETTAC;
44-Open 2015;Torino;Open 2015;Associazione;POL_SOC, SPETTAC;T_GIOVAN
45-Open 2015;Torino;Open 2015;Associazione;INN_CULT, POL_SOC, EVENTI, SPETTAC;T_SETT
46-Open 2015;Genova;Open 2015;Associazione;INN_CULT, DID_FORM;T_GIOVAN
47-Open 2015;Torino;Open 2015;Altro;INN_CULT, POL_SOC, AUDIOVIS, CONCORSO, ENOGASTR, SPETTAC, SPORT;
48-Open 2015;Torino;Open 2015;Associazione;INN_CULT, AUDIOVIS, CONCORSO, FESTIVAL;T_SETT
49-Open 2015;Genova;Open 2015;Ente locale;INN_CULT, EVENTI;
50-Open 2015;Torino;Open 2015;Associazione;INN_CULT, FESTIVAL, SPETTAC;T_GIOVAN
51-Open 2015;Torino;Open 2015;Cooperativa;INN_CULT, DID_FORM;T_GIOVAN
52-Open 2015;Torino;Open 2015;Associazione;INN_CULT, POL_SOC, DID_FORM;T_GIOVAN
53-Open 2015;Torino;Open 2015;Associazione;INN_CULT, ENOGASTR, SPORT;
54-Open 2015;Alessandria;Open 2015;Altro;INN_CULT, ARTI_VIS, AUDIOVIS, CONCORSO, DID_FORM, ENOGASTR, INT_SOC, SPETTAC;
55-Open 2015;Torino;Open 2015;Associazione;INN_CULT, POL_SOC, DID_FORM, INT_SOC, PATRIMON;
56-Open 2015;Genova;Open 2015;Cooperativa;INN_CULT, APP_SOFT, DID_FORM, TURISMO;
57-Open 2015;Altra provincia italiana;Open 2015;Altro;INN_CULT, POL_SOC, INT_SOC;T_GIOVAN
58-Open 2015;Asti;Open 2015;Istruzione, università e ricerca;INN_CULT, ENOGASTR, PATRIMON, TURISMO;
59-Open 2015;Altra provincia piemontese;Open 2015;Associazione;INN_CULT, DID_FORM, SPETTAC;T_SETT
