EDIZIONE,ID.PROG,ID.TEAM,PROV,ETA.CL,SESSO,TITSTUD,LAUREA,PROF,SETPROF,MODPART,TEAM,AGIURID,T.PROG,AMBITO1,AMBITO2,ARCHITET,ARCH.BIB,ARTI.VIS,ARTIGIAN,AUDIOVIS,DESIGN,EDITORIA,PATRIMON,SPETTAC,AM.ALTRO,REPLICA,REP.DOVE,REP.SETT,REP.SE.Q,AVANZAM,AVANZ.D,IMPATTO1,IMPATTO2,ACCESSO,CONSERV,DIST.COM,EDUCAZ,FRUIZ,FUNDRAIS,PARTECIP,PRODUZ,PROMOZ,RIC.FORM,INF.PROG1,INF.PROG2,CARENZA1,CARENZA2,CARENZA3,ARTISTI,TURISTI,STUDENTI,FAMIGLIE,SCUO.UNI,APPASS,OPERAT,PROF.CRE,IST.CULT,PA,IMPRESE,TAR.ALTR,FILTR.PR,filter_$
iC1,1,Proponente,Milano,35-39 anni,Maschio,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Altre professioni,"Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,1,For Profit,Spazio,"Audiovisivo (cinema, radio, video, videogame, discografia)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Non rilevabile,Non rilevabile,Non rilevabile,Progettazione,Italia,Produzione,Accesso, , , , , , , , , , ,Cultura,Ambiente,Spazio,Marketing,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,1,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Attività di biblioteche, archivi, musei ed altre attività culturali", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,2,Proponente,Milano,25-29 anni,Femmina,Laurea,"Scienze storiche, filosofiche, pedagogiche e psicologiche",Non rilevabile,Altre attività,In rappresentanza di un team informale,4,Non rilevabile,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Progettazione,Italia,Fruizione,Accesso, , , , , , , , , , ,Ambiente,Cultura,Competenze,Networking,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,2,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,2,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,2,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in scienze sociali,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,2,5,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Altri specialisti dell'educazione e della formazione,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,3,Proponente,Milano,30-34 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile,A titolo personale,Non applicabile,Non rilevabile,Digitale,"Editoria (letteratura, scrittura)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Diffusione & sviluppo,Italia,Produzione,Non applicabile, , , , , , , , , , ,Cultura,Welfare/sociale,Marketing,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,4,Proponente,Milano,35-39 anni,Maschio,Post-laurea,Scienze economiche e statistiche,"Legislatori, imprenditori e alta dirigenza","Altre attività professionali, scientifiche e tecniche",In rappresentanza di un team informale,4,Non rilevabile,Digitale,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Altro ambito,"Patrimonio (beni culturali, archeologia, paesaggio)",Concept,Non applicabile,Fruizione,Accesso, , , , , , , , , , ,Cultura,Non applicabile,Marketing,Progettazione,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,4,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in scienze sociali,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
