ID;ID_PROG;PROV;TEAM;EDIZIONE;Ambito;AGIURID
1-1;1;Milano;1;iC1;;For Profit
1-2;1;Non rilevabile; ;iC1;; 
2-1;2;Milano;4;iC1;;Non rilevabile
2-2;2;Non rilevabile; ;iC1;; 
2-3;2;Non rilevabile; ;iC1;; 
2-4;2;Non rilevabile; ;iC1;; 
2-5;2;Non rilevabile; ;iC1;; 
3-1;3;Milano;Non applicabile;iC1;;Non rilevabile
4-1;4;Milano;4;iC1;;Non rilevabile
4-2;4;Non rilevabile; ;iC1;; 
4-3;4;Non rilevabile; ;iC1;; 
4-4;4;Non rilevabile; ;iC1;; 
4-5;4;Non rilevabile; ;iC1;; 
5-1;5;Varese;Non applicabile;iC1;;No Profit
6-1;6;Monza e della Brianza;Non applicabile;iC1;;No Profit
7-1;7;Pavia;2;iC1;;No Profit
7-2;7;Non rilevabile; ;iC1;; 
7-3;7;Non rilevabile; ;iC1;; 
8-1;8;Milano;12;iC1;;No Profit
8-2;8;Non rilevabile; ;iC1;; 
8-3;8;Non rilevabile; ;iC1;; 
8-4;8;Non rilevabile; ;iC1;; 
8-5;8;Non rilevabile; ;iC1;; 
8-6;8;Non rilevabile; ;iC1;; 
8-7;8;Non rilevabile; ;iC1;; 
8-8;8;Non rilevabile; ;iC1;; 
8-9;8;Non rilevabile; ;iC1;; 
8-10;8;Non rilevabile; ;iC1;; 
8-11;8;Non rilevabile; ;iC1;; 
8-12;8;Non rilevabile; ;iC1;; 
8-13;8;Non rilevabile; ;iC1;; 
9-1;9;Milano;Non applicabile;iC1;;For Profit
10-1;10;Milano;8;iC1;;No Profit
10-2;10;Non rilevabile; ;iC1;; 
10-3;10;Non rilevabile; ;iC1;; 
10-4;10;Non rilevabile; ;iC1;; 
10-5;10;Non rilevabile; ;iC1;; 
10-6;10;Non rilevabile; ;iC1;; 
10-7;10;Non rilevabile; ;iC1;; 
10-8;10;Non rilevabile; ;iC1;; 
10-9;10;Non rilevabile; ;iC1;; 
11-1;11;Milano;1;iC1;;For Profit
11-2;11;Non rilevabile; ;iC1;; 
12-1;12;Bergamo;Non applicabile;iC1;;No Profit
13-1;13;Brescia;2;iC1;;Non rilevabile
13-2;13;Non rilevabile; ;iC1;; 
13-3;13;Non rilevabile; ;iC1;; 
14-1;14;Monza e della Brianza;Non applicabile;iC1;;Non rilevabile
15-1;15;Varese;Non applicabile;iC1;;Non rilevabile
16-1;16;Pavia;3;iC1;;Non rilevabile
16-2;16;Non rilevabile; ;iC1;; 
16-3;16;Non rilevabile; ;iC1;; 
16-4;16;Non rilevabile; ;iC1;; 
17-1;17;Brescia;Non applicabile;iC1;;No Profit
18-1;18;Milano;3;iC1;;No Profit
18-2;18;Non rilevabile; ;iC1;; 
18-3;18;Non rilevabile; ;iC1;; 
18-4;18;Non rilevabile; ;iC1;; 
19-1;19;Altra provincia italiana;4;iC1;;No Profit
19-2;19;Non rilevabile; ;iC1;; 
19-3;19;Non rilevabile; ;iC1;; 
19-4;19;Non rilevabile; ;iC1;; 
19-5;19;Non rilevabile; ;iC1;; 
20-1;20;Como;1;iC1;;Non rilevabile
20-2;20;Non rilevabile; ;iC1;; 
21-1;21;Milano;Non applicabile;iC1;;No Profit
22-1;22;Mantova;Non applicabile;iC1;;No Profit
23-1;23;Brescia;Non applicabile;iC1;;Non rilevabile
24-1;24;Milano;Non applicabile;iC1;;No Profit
25-1;25;Milano;Non applicabile;iC1;;Non rilevabile
26-1;26;Milano;Non applicabile;iC1;;Non rilevabile
27-1;27;Milano;Non applicabile;iC1;;No Profit
28-1;28;Milano;Non applicabile;iC1;;Non rilevabile
29-1;29;Brescia;3;iC1;;No Profit
29-2;29;Non rilevabile; ;iC1;; 
29-3;29;Non rilevabile; ;iC1;; 
29-4;29;Non rilevabile; ;iC1;; 
30-1;30;Altra provincia italiana;2;iC1;;Non rilevabile
30-2;30;Non rilevabile; ;iC1;; 
30-3;30;Non rilevabile; ;iC1;; 
31-1;31;Varese;Non applicabile;iC1;;No Profit
32-1;32;Milano;1;iC1;;Non rilevabile
32-2;32;Non rilevabile; ;iC1;; 
33-1;33;Milano;3;iC1;;No Profit
33-2;33;Non rilevabile; ;iC1;; 
33-3;33;Non rilevabile; ;iC1;; 
33-4;33;Non rilevabile; ;iC1;; 
34-1;34;Altra provincia italiana;Non applicabile;iC1;;No Profit
35-1;35;Bergamo;3;iC1;;Non rilevabile
35-2;35;Non rilevabile; ;iC1;; 
35-3;35;Non rilevabile; ;iC1;; 
35-4;35;Non rilevabile; ;iC1;; 
36-1;36;Bergamo;Non applicabile;iC1;;No Profit
37-1;37;Monza e della Brianza;1;iC1;;Non rilevabile
37-2;37;Non rilevabile; ;iC1;; 
38-1;38;Altra provincia italiana;Non applicabile;iC1;;Non rilevabile
39-1;39;Milano;1;iC1;;For Profit
39-2;39;Non rilevabile; ;iC1;; 
40-1;40;Como;Non applicabile;iC1;;No Profit
41-1;41;Como;Non applicabile;iC1;;For Profit
42-1;42;Milano;8;iC1;;No Profit
42-2;42;Non rilevabile; ;iC1;; 
42-3;42;Non rilevabile; ;iC1;; 
42-4;42;Non rilevabile; ;iC1;; 
42-5;42;Non rilevabile; ;iC1;; 
42-6;42;Non rilevabile; ;iC1;; 
42-7;42;Non rilevabile; ;iC1;; 
42-8;42;Non rilevabile; ;iC1;; 
42-9;42;Non rilevabile; ;iC1;; 
43-1;43;Milano;2;iC1;;For Profit
43-2;43;Non rilevabile; ;iC1;; 
43-3;43;Non rilevabile; ;iC1;; 
44-1;44;Milano;4;iC1;;For Profit
44-2;44;Non rilevabile; ;iC1;; 
44-3;44;Non rilevabile; ;iC1;; 
44-4;44;Non rilevabile; ;iC1;; 
44-5;44;Non rilevabile; ;iC1;; 
45-1;45;Milano;Non applicabile;iC1;;Non rilevabile
46-1;46;Milano;4;iC1;;No Profit
46-2;46;Non rilevabile; ;iC1;; 
46-3;46;Non rilevabile; ;iC1;; 
46-4;46;Non rilevabile; ;iC1;; 
46-5;46;Non rilevabile; ;iC1;; 
47-1;47;Milano;Non applicabile;iC1;;No Profit
48-1;48;Lecco;2;iC1;;No Profit
48-2;48;Non rilevabile; ;iC1;; 
